index	idiom	submission	category	1.Wrong Category	2.Undecidable	3.Low Context	4.Vulgar	5.Incorrect Grammar/   Word Order	6.Incorrect Spelling	7.Meaningless	8.Negative Sentiment	9.Restricted Readers	10.Not-Idiomatic & Not-Literal	11.Quality	12.Notes
2	aprire gli occhi	A Natale il primo pensiero di mia figlia, appena apre gli occhi, è vedere che le ha portato Babbo Natale	idiom	1	0	0	0	0	0	0	0	0	0	1	
11	aprire gli occhi	Appena ho aperto gli occhi, ho capito che sarebbe stata una giornataccia.	nonidiom	0	0	0	0	0	0	0	0	0	1	1	
14	aprire gli occhi	Apri gli occhi con quel ragazzo	idiom	0	0	0	0	0	0	0	0	0	0	2	
15	aprire gli occhi	Apri gli occhi con quel ragazzo, mi sembra poco affidabile	idiom	0	0	0	0	0	0	0	0	0	0	0	5
19	aprire gli occhi	Apri gli occhi ed esprimi un desiderio	nonidiom	0	0	0	0	0	0	0	0	0	0	0	
21	aprire gli occhi	Apri gli occhi li fuori	idiom	1	0	1	0	0	0	0	0	0	0	0	
40	aprire gli occhi	Apri gli occhi, maledizione!	idiom	0	0	0	0	0	0	0	0	0	0	0	5
49	aprire gli occhi	Apri gli occhi, questa situazione non mi convince	idiom	0	0	0	0	0	0	0	0	0	0	2	
51	aprire gli occhi	Apri gli occhi, sta cercando di truffarti	idiom	0	0	0	0	0	0	0	0	0	0	2	
52	aprire gli occhi	Apri gli occhi, ti fregherà tutti i soldi che hai!	idiom	0	0	0	0	0	0	0	0	0	0	0	11
72	aprire gli occhi	Aprire sempre gli occhi fa di te un uomo previdente	idiom	0	0	1	0	0	0	0	0	0	0	0	
86	aprire gli occhi	Devi aprire sempre gli occhi quando non conosci chi ti sta intorno	idiom	0	0	0	0	0	0	0	0	0	0	1	
92	aprire gli occhi	Dovresti aprire gli occhi	idiom	0	0	1	0	0	0	0	0	0	0	0	
99	aprire gli occhi	Faresti bene ad aprire gli occhi	idiom	0	0	0	0	0	0	0	0	0	0	1	
102	aprire gli occhi	Finalmente ha aperto gli occhi su Giovanna.	idiom	0	0	0	0	0	0	0	0	0	0	2	
109	aprire gli occhi	Gli occhi son stati aperti al popolo	idiom	0	0	1	0	1	0	0	0	0	0	0	
127	aprire gli occhi	Ho un'infezione e non riesco ad aprire gli occhi	idiom	1	0	0	0	0	0	0	0	0	0	0	
134	aprire gli occhi	Il medico disse: le chiedo di aprire e chiudere velocemente gli occhi	nonidiom	0	0	0	0	0	0	0	0	0	0	2	
143	aprire gli occhi	L'ansia mi assale da quando apro gli occhi la mattina	idiom	0	0	0	0	0	1	0	0	0	0	0	
156	aprire gli occhi	Marta durante l'esame dovrebbe aprire gli occhi, la sua compagna di banco copia tutto da lei	idiom	1	0	0	0	0	0	0	0	0	0	0	
157	aprire gli occhi	Mi raccomando, apri gli occhi.	idiom	0	0	1	0	0	0	0	0	0	0	0	
169	aprire gli occhi	Non aprire gli occhi, non è ancora il momento	nonidiom	0	0	0	0	0	0	0	0	0	0	2	
171	aprire gli occhi	Non aprire gli occhi, è una sorpresa	nonidiom	0	0	0	0	0	0	0	0	0	0		24
175	aprire gli occhi	Non far aprire a Giovanni gli occhi altrimenti la sorpresa è rovinata	nonidiom	0	0	0	0	0	0	0	0	0	0	0	24
195	aprire gli occhi	Non è facile per una professoressa, in una classe di trenta persone, aprire gli occhi durante un compito in classe	idiom	1	0	0	0	0	0	0	0	0	0	0	
196	aprire gli occhi	Nonostante quel che é successo, non vuole aprire gli occhi	idiom	0	0	0	0	0	0	0	0	0	0	2	
211	aprire gli occhi	Quando aperto gli occhi mi sono tranquillizzato perchè era solo un sogno	idiom	0	0	0	0	1	0	0	0	0	0	0	
224	aprire gli occhi	Quando va sott'acqua apre gli occhi, per questo sono irritati	nonidiom	0	0	0	0	0	0	0	0	0	0	1	
227	aprire gli occhi	Quanto si è accecati dall'amore è difficile aprire gli occhi	idiom	0	0	0	0	0	0	0	0	0	0	1	
235	aprire gli occhi	Riesce ad aprire gli occhi quando va sott'acqua	nonidiom	0	0	0	0	0	0	0	0	0	0	1	
237	aprire gli occhi	Se non apri gli occhi andrai a sbattere contro il palo	nonidiom	0	0	1	0	0	0	0	0	0	0	0	
245	aprire gli occhi	Se non apri gli occhi, troveranno sempre il modo di manipolarti	idiom	0	0	0	0	0	0	0	0	0	0	1	
254	aprire gli occhi	Sono andata dall'oculista perché non riesco ad aprire gli occhi	nonidiom	0	0	0	0	0	0	0	0	0	0	2	
260	aprire gli occhi	Stanotte ho aperto gli occhi alle due e non sono riuscito a prendere di nuovo sonno	nonidiom	0	0	0	0	0	0	0	0	0	0	1	
265	aprire gli occhi	Troppe persone sono facilmente manipolabili, dovrebbero aprire gli occhi	idiom	0	0	0	0	0	0	0	0	0	0	1	
270	aprire gli occhi	Vidi una luce accecante e non riuscii ad aprire gli occhi	nonidiom	0	0	0	0	0	0	0	0	0	0	2	
286	Attaccare bottone	Attaccare bottoni è la mia specialità	nonidiom	0	0	1	0	0	0	0	0	0	0	0	
288	Attaccare bottone	Cercava in tutti i modi di attaccare bottone, ma io non ero proprio in vena di fare amicizie	idiom	0	0	0	0	0	0	0	0	0	0	1	
291	Attaccare bottone	Che tipo quello, attacca bottone con chiunque!	idiom	0	0	0	0	0	0	0	0	0	0	2	
295	Attaccare bottone	Devo attaccare un bottone della camicia, ma non so farlo.	nonidiom	0	0	0	0	0	0	0	0	0	0	1	
299	Attaccare bottone	Durante il corso di cucito che ho fatto l’anno scorso ho imparato ad attaccare i bottoni	nonidiom	0	0	0	0	0	0	0	0	0	0	2	
306	Attaccare bottone	Ha attaccato male il bottone sulla giacca e ora sta di nuovo per cadere.	nonidiom	0	0	0	0	0	0	0	0	0	0	2	
309	Attaccare bottone	Ho attaccato bottone con una persona e adesso siamo molto amici	idiom	0	0	0	0	0	0	0	0	0	0	1	
321	Attaccare bottone	Il miglior modo per attaccare un bottone ad un tessuto è usare il filo	nonidiom	0	0	0	0	0	0	0	0	0	0	1	
346	Attaccare bottone	Nessuno a casa mia sapeva attaccare un bottone, quindi ho portato la camicia dalla sarta.	nonidiom	0	0	0	0	0	0	0	0	0	0	2	
360	Attaccare bottone	Odio quando le persone in fila al supermercato attaccano bottone	idiom	0	0	0	0	0	0	0	0	0	0	1	
367	Attaccare bottone	Per caso sapresti attaccare un bottone a questi jeans?	nonidiom	0	0	0	0	0	0	0	0	0	0	2	
372	Attaccare bottone	Quando i commessi attaccano bottone è difficile uscire senza comprare qualcosa	idiom	0	0	0	0	0	0	0	0	0	0	1	
381	Attaccare bottone	Sono andato dal sarto per fargli attaccare un bottone che si era staccato.	nonidiom	0	0	0	0	0	0	0	0	0	0	1	
384	Attaccare bottone	Spesso mi pungo quando cerco di attaccare un bottone	nonidiom	0	0	0	0	0	0	0	0	0	0	1	
399	Aver le mani lunghe	Avendo le mani lunghe e affusolate, inizio a studiare pianoforte da piccola	idiom	1	0	0	0	0	0	0	0	0	0	0	
403	Aver le mani lunghe	Avendo le mani lunghe finì in galera	idiom	0	0	0	0	0	0	0	0	0	0	1	
414	Aver le mani lunghe	Che tu abbia le mani lunghe o corte, con la pratica imparerai a suonare.	nonidiom	0	0	0	0	0	0	0	0	0	0	1	
420	Aver le mani lunghe	Claudia ha le mani lunghe, ed è per questo che non la invito a casa	idiom	0	0	0	0	0	0	0	0	0	0	2	
425	Aver le mani lunghe	Credo che Martina abbia le mani lunghe, ma non ne ho le prove	idiom	0	0	0	0	0	0	0	0	0	0	2	
434	Aver le mani lunghe	Giulia ha le mani lunghe, attenta	idiom	0	0	0	0	0	0	0	0	0	0	2	
440	Aver le mani lunghe	Ha le mani molto lunghe e necessita di guanti più grandi	nonidiom	0	0	0	0	0	0	0	0	0	0	2	
451	Aver le mani lunghe	Ho le mani lunghe ma non le dita.	nonidiom	0	0	0	0	0	0	0	0	0	0	1	
453	Aver le mani lunghe	Ho le mani lunghe quando mi trovo in gioielleria	idiom	0	0	0	0	0	0	0	0	0	0	1	
456	Aver le mani lunghe	Ho le mani lunghe, ma mi piace comunque indossare gli anelli.	nonidiom	0	0	0	0	0	0	0	0	0	0	1	
464	Aver le mani lunghe	Il cliente aveva le mani lunghe e fu arrestato	idiom	0	0	0	0	0	0	0	0	0	0	1	
480	Aver le mani lunghe	Lo zio tende ad avere le mani davvero lunghe.	idiom	0	0	0	0	0	0	0	0	0	0	1	
483	Aver le mani lunghe	Luisa tende ad avere le mani lunghe sugli oggetti altrui	idiom	0	0	0	0	0	0	0	0	0	0	1	
499	Aver le mani lunghe	Non mi guardare così mamma, è lui che ha le mani lunghe e ha preso i tuoi soldi, io sono innocente!	idiom	0	0	0	0	0	0	0	0	0	0	2	
505	Aver le mani lunghe	Per suonare il piano è preferibile avere le mani lunghe	nonidiom	0	0	0	0	0	0	0	0	0	0	2	
522	Aver le mani lunghe	Se noti bene, lei ha le mani lunghe e affusolate.	nonidiom	0	0	0	0	0	0	0	0	0	0	2	
535	Aver le mani lunghe	Sull'autobus stai molto attento a chi ha le mani lunghe	idiom	0	0	0	0	0	0	0	0	0	0	2	
540	Aver le mani lunghe	Vorrei non avere le mani tanto lunghe, sono virili	nonidiom	0	0	0	0	0	0	0	0	0	0	2	
573	avere birra in corpo	Dopo la nottata dell'anno scorso avevo solo birra in corpo!	nonidiom	0	0	0	0	0	0	0	0	0	0	2	
585	avere birra in corpo	Hai ancora della birra nel corpo da ieri sera	idiom	1	0	0	0	0	0	0	0	0	0	0	
601	avere birra in corpo	Ho tanta birra in corpo, non riusciranno a fermarmi!	idiom	0	0	0	0	0	0	0	0	0	0	2	
603	avere birra in corpo	I test hanno confermato che avesse troppa birra in corpo al momento dell'incidente	nonidiom	0	0	0	0	0	0	0	0	0	0	2	
608	avere birra in corpo	Il patron era grintoso ed energico aveva tanta birra in corpo.	idiom	0	0	0	0	0	0	0	0	0	0	1	
609	avere birra in corpo	Il ragazzo aveva birra in corpo e non si lasciò intimidire	idiom	0	0	0	0	0	0	0	0	0	0	2	
614	avere birra in corpo	Laura ha sempre la birra in corpo, la invidio.	idiom	0	0	1	0	0	0	0	0	0	0	0	
621	avere birra in corpo	Mi sono appena svegliato e già non ho più birra in corpo	idiom	0	0	0	0	0	0	0	0	0	0	1	
628	avere birra in corpo	Non avevo più birra in corpo ma lui continuava a volere avere ragione, così me ne andai.	idiom	0	0	0	0	0	0	0	0	0	0	1	
645	avere birra in corpo	Questo ragazzo ha davvero birra in corpo	idiom	0	0	0	0	0	0	0	0	0	0	2	
647	avere birra in corpo	Se hai ancora birra in corpo potremmo fare un altro giro.	idiom	0	0	0	0	0	0	0	0	0	0	2	
654	avere birra in corpo	Sono tornata a casa ora decisamente provata, avendo troppa birra in corpo.	nonidiom	0	0	0	0	0	0	0	0	0	0	1	
656	avere birra in corpo	Tranquilla, ho ancora della birra in corpo, puoi contare su di me per il trasloco.	idiom	0	0	1	0	0	0	0	0	0	0	0	
668	Avere il becco lungo	Anche se ha il becco lungo, è la migliore nel suo campo	idiom	0	0	0	0	0	0	0	0	0	0	2	
669	Avere il becco lungo	Ancora una volta hai parlato a sproposito : hai davvero il becco troppo lungo!	idiom	0	0	0	0	0	0	0	0	0	0	2	
697	Avere il becco lungo	Ci sono molti uccelli che hanno il becco lungo ma sono piccoli di dimensione	nonidiom	0	0	0	0	0	0	0	0	0	0	2	
700	Avere il becco lungo	Con il becco lungo che hai finirai per ritrovarti senza amici	idiom	0	0	0	0	0	0	0	0	0	0	2	
701	Avere il becco lungo	Con il becco lungo che hai, alcune persone potrebbero infastidirsi	idiom	0	0	0	0	0	0	0	0	0	0	1	87
716	Avere il becco lungo	Gli uccelli che hanno il becco molto lungo sono dei veri predatori	nonidiom	0	0	0	0	0	0	0	0	0	0	1	
717	Avere il becco lungo	Gli uccelli che hanno un becco molto lungo, riescono a mangiare senza bagnarsi le piume.	nonidiom	0	0	0	0	0	0	0	0	0	0	2	
721	Avere il becco lungo	Guarda quel pellicano, ha il becco lunghissimo	nonidiom	0	0	0	0	0	0	0	0	0	0	2	
730	Avere il becco lungo	Hai il becco così lungo che non si può raccontare nulla	idiom	0	0	0	0	0	0	0	0	0	0	0	
732	Avere il becco lungo	Hai il becco lungo e per questo non hai amici!	idiom	0	0	0	0	0	0	0	0	0	0	1	
746	Avere il becco lungo	Hai sempre da ridire su tutto, hai il becco troppo lungo!	idiom	0	0	0	0	0	0	0	0	0	0	2	
748	Avere il becco lungo	Ho il becco lungo, non riesco a mantenere i segreti	idiom	0	0	0	0	0	0	0	0	0	0	1	
753	Avere il becco lungo	I colibrì hanno un becco lungo per arrivare al nettare	nonidiom	0	0	0	0	0	0	0	0	0	0	2	
758	Avere il becco lungo	Il Chiurlo americano è famoso per avere il becco lungo.	nonidiom	0	0	0	0	0	0	0	0	0	0	2	
766	Avere il becco lungo	Il mio pappagallo ha il becco lungo.	nonidiom	0	0	0	0	0	0	0	0	0	0	2	
772	Avere il becco lungo	Il pellicano ha un becco davvero lungo	nonidiom	0	0	0	0	0	0	0	0	0	0	2	
783	Avere il becco lungo	In quella famiglia Claudia è l'unica a non avere il becco lungo	idiom	0	0	0	0	0	0	0	0	0	0	2	
790	Avere il becco lungo	L'upupa è tra uno tra gli uccelli ad avere il becco lungo	nonidiom	0	0	0	0	1	0	0	0	0	0	0	
796	Avere il becco lungo	La cicogna ha il becco molto lungo	nonidiom	0	0	0	0	0	0	0	0	0	0	1	
798	Avere il becco lungo	La finisci di avere sempre il becco lungo?	idiom	0	0	0	0	0	0	0	0	0	0	2	
810	Avere il becco lungo	la prima cosa che saprai di lei è che ha il becco lungo!	idiom	0	0	0	0	0	0	0	0	0	0	2	
821	Avere il becco lungo	Lo so che te l'ha detto Maria: non ci si può mai fidare di chi ha il becco troppo lungo!	idiom	0	0	0	0	0	0	0	0	0	0	2	
826	Avere il becco lungo	Marco ha il becco proprio lungo, si intromette in ogni conversazione.	idiom	0	0	0	0	0	0	0	0	0	0	2	
835	Avere il becco lungo	Mia madre ha il becco troppo lungo, racconta sempre i miei fatti alle sue amiche	idiom	0	0	0	0	0	0	0	0	0	0	2	
836	Avere il becco lungo	Mia madre è insopportabile perché ha il becco lungo.	idiom	0	0	1	0	0	0	0	0	0	0	1	
842	Avere il becco lungo	Mia suocera ha sempre il becco lungo	idiom	0	0	0	0	0	0	0	0	0	0	2	
851	Avere il becco lungo	Nella tua famiglia avete tutti il becco lungo	idiom	0	0	0	0	0	0	0	0	0	0	1	
855	Avere il becco lungo	Non c'è verso di cambiarlo, Nello ha sempre avuto il becco lungo	idiom	0	0	0	0	0	0	0	0	0	0	2	
857	Avere il becco lungo	Non confidare il tuo segreto a Pietro, ha il becco lungo.	idiom	0	0	0	0	0	0	0	0	0	0	1	
870	Avere il becco lungo	Non raccontare segreti a Marco, tutti sanno che ha il becco lungo	idiom	0	0	0	0	0	0	0	0	0	0	1	
873	Avere il becco lungo	Non si può parlare con tua madre, ha davvero il becco troppo lungo !	idiom	0	0	0	0	0	0	0	0	0	0	1	
883	Avere il becco lungo	Non è una caratteristica di tutti gli uccelli avere il becco lungo.	nonidiom	0	0	0	0	0	0	0	0	0	0	2	
907	Avere il becco lungo	Quelle ragazze non mi piacciono, hanno il becco troppo lungo	nonidiom	1	0	0	0	0	0	0	0	0	0	0	
909	Avere il becco lungo	Quell’uccello ha il becco lungo, è sicuramente un tucano	nonidiom	0	0	0	0	0	0	0	0	0	0	2	
938	Avere il becco lungo	Tutti la allontanano perché ha il becco troppo lungo	idiom	0	0	0	0	0	0	0	0	0	0	2	
970	Avere il mestolo in mano	Avere il mestolo in mano	idiom	1	0	1	0	0	0	0	0	0	0	0	
991	Avere il mestolo in mano	Avere il mestolo in mano non ti garantisce la vittoria	idiom	0	0	0	0	0	0	0	0	0	0	2	
1001	Avere il mestolo in mano	Avere il mestolo in mano può essere controproducente	idiom	0	0	0	0	0	0	0	0	0	0	2	
1006	Avere il mestolo in mano	Avere il mestolo in mano sarà davvero così importante?	idiom	0	0	1	0	0	0	0	0	0	0	1	
1012	Avere il mestolo in mano	Avere il mestolo in mano è il mio obiettivo fin dall'inizio	idiom	0	0	0	0	0	0	0	0	0	0	1	
1028	Avere il mestolo in mano	Aveva il mestolo in mano quando sono entrata in cucina per parlare con lei	nonidiom	0	0	0	0	0	0	0	0	0	0	2	
1043	Avere il mestolo in mano	Avrebbero avuto il mestolo in mano se solo avessero rispettato il piano	idiom	0	0	1	0	0	0	0	0	0	0	1	
1050	Avere il mestolo in mano	Che fatica, ho il mestolo in mano da questa mattina	nonidiom	0	0	0	0	0	0	0	0	0	0	1	
1059	Avere il mestolo in mano	Chi ha il mestolo in mano non è ben visto	idiom	0	0	1	0	0	0	0	0	0	0	0	
1061	Avere il mestolo in mano	Chi ha il mestolo in mano tende spesso a mortificare gli altri.	idiom	0	0	0	0	0	0	0	0	0	0	2	
1068	Avere il mestolo in mano	Con questa mossa avrà per sempre il mestolo in mano	idiom	0	0	0	0	0	0	0	0	0	0	2	
1069	Avere il mestolo in mano	crede di avere il mestolo in mano!	idiom	0	0	1	0	0	0	0	0	0	0	1	
1071	Avere il mestolo in mano	Crede di avere il mestolo in mano, ma nessuno le dà ascolto	idiom	0	0	0	0	0	0	0	0	0	0	2	
1091	Avere il mestolo in mano	Durante le liti con il mio fidanzato io ho sempre il mestolo in mano	idiom	0	0	0	0	0	0	0	0	0	0	2	
1094	Avere il mestolo in mano	Ecco che avere il mestolo in mano, gli permise di far sentire la sua voce	idiom	0	0	0	0	0	0	0	0	0	0	1	
1099	Avere il mestolo in mano	Finché la germania ha avuto il mestolo in mano durante la seconda guerra mondiale non ha risparmiato nessuno	idiom	0	0	0	0	0	0	0	0	0	0	2	
1104	Avere il mestolo in mano	Francesca era solita avere il mestolo in mano e litigava sempre con i colleghi, perciò l'hanno licenziata	idiom	0	0	0	0	0	0	0	0	0	0	2	
1117	Avere il mestolo in mano	ha il mestolo in mano ma non sa ancora cosa cucinare oggi a pranzo	nonidiom	0	0	0	0	0	0	0	0	0	0	2	
1133	Avere il mestolo in mano	Hai il mestolo in mano, gira tu il brodo	nonidiom	0	0	0	0	0	0	0	0	0	0	2	
1145	Avere il mestolo in mano	Ho finalmente il mestolo in mano	idiom	0	0	1	0	0	0	0	0	0	0	0	
1146	Avere il mestolo in mano	Ho finalmente ottenuto il mestolo in mano	idiom	0	0	0	0	0	0	0	0	0	0	1	
1148	Avere il mestolo in mano	Ho il mestolo in mano a riguardo, non ascolto obiezioni	idiom	0	0	0	0	0	0	0	0	0	0	2	
1153	Avere il mestolo in mano	Ho il mestolo in mano mentre sto parlando	nonidiom	0	0	0	0	0	0	0	0	0	0	2	
1160	Avere il mestolo in mano	Ho le mani occupate: ho il mestolo in una mano e la spatola nell'altra mano	nonidiom	0	0	0	0	0	0	0	0	0	0	2	
1169	Avere il mestolo in mano	Ho speso molto per comprare il mestolo che ho in mano, fai attenzione	nonidiom	0	0	0	0	0	0	0	0	0	0	1	
1190	Avere il mestolo in mano	Il dirigente ha il mestolo in mano e lo usa continuamente sui suoi dipendenti	idiom	0	0	0	0	0	0	0	0	0	0	2	
1191	Avere il mestolo in mano	Il fatto che sia io quella ad avere il mestolo in mano, non vuol dire che debba preparare da sola il pranzo	nonidiom	0	0	0	0	0	0	0	0	0	0	1	
1195	Avere il mestolo in mano	Il leader è quello che ha il mestolo in mano	idiom	0	0	0	0	0	0	0	0	0	0	2	
1205	Avere il mestolo in mano	Il mestolo che aveva la maestra in mano era un regalo dei suoi alunni	nonidiom	0	0	0	0	0	0	0	0	0	0	2	
1223	Avere il mestolo in mano	Il mestolo che ha in mano è un pezzo unico	nonidiom	0	0	0	0	0	0	0	0	0	0	2	
1224	Avere il mestolo in mano	Il mestolo che ha in mano è un regalo della mamma	nonidiom	0	0	0	0	0	0	0	0	0	0	2	148
