idiom	submission	category	likes	dislikes	reports	rating
aprire gli occhi	A causa di quel brutto incidente Michele è diventato cieco e non ha aperto più gli occhi	nonidiom	1	0	0	1
aprire gli occhi	A Natale il primo pensiero di mia figlia, appena apre gli occhi, è vedere che le ha portato Babbo Natale	nonidiom	0	1	0	0
aprire gli occhi	A Natale il primo pensiero di mia figlia, appena apre gli occhi, è vedere che le ha portato Babbo Natale	idiom	1	0	0	1
aprire gli occhi	Abbiamo aperto finalmente gli occhi e abbiamo capito che la situazione stava degenerando	idiom	0	1	0	0
aprire gli occhi	Al mattino non apro mai entrambi gli occhi insieme, ne apro uno alla volta.	nonidiom	1	1	0	0,5
aprire gli occhi	Al mio tre aprite gli occhi	nonidiom	1	0	0	1
aprire gli occhi	Alcune persone dovrebbero aprire gli occhi mentre camminano, non guardano mentre attraversano	nonidiom	0	1	0	0
aprire gli occhi	Appena apro gli occhi il mio pensiero è scrivere il buongiorno al mio ragazzo	nonidiom	0	1	0	0
aprire gli occhi	Appena apro gli occhi il mio primo pensiero è vedere come sta mia figlia di un mese	nonidiom	0	1	0	0
aprire gli occhi	Appena apro gli occhi il mio primo pensiero è vedere come sta mia figlia di un mese	idiom	1	0	0	1
aprire gli occhi	Appena ha sentito il rumore del motorino di papà, ha aperto gli occhi ed è corso verso la porta	nonidiom	1	2	0	0,3333333333
aprire gli occhi	Appena ho aperto gli occhi, ho capito che sarebbe stata una giornataccia.	nonidiom	2	0	0	1
aprire gli occhi	Apra gli occhi, é un'imboscata!	idiom	1	0	0	1
aprire gli occhi	Apri bene gli occhi quando passi per il mercato, ci sono molti borseggiatori	nonidiom	1	0	0	1
aprire gli occhi	Apri gli occhi con quel ragazzo	idiom	1	0	0	1
aprire gli occhi	Apri gli occhi con quel ragazzo, mi sembra poco affidabile	idiom	1	4	0	0,2
aprire gli occhi	Apri gli occhi e non farti prendere in giro	idiom	1	0	0	1
aprire gli occhi	Apri gli occhi e smettila	idiom	0	1	0	0
aprire gli occhi	Apri gli occhi e svegliati una volta per tutte!	idiom	0	1	0	0
aprire gli occhi	Apri gli occhi ed esprimi un desiderio	nonidiom	0	1	0	0
aprire gli occhi	Apri gli occhi finché sei in tempo	idiom	0	2	0	0
aprire gli occhi	Apri gli occhi li fuori	idiom	1	1	0	0,5
aprire gli occhi	Apri gli occhi o non riuscirai a camminare al buio	nonidiom	1	0	0	1
