idiom	submission	category	likes	dislikes	reports	rating
abbaiare alla luna	Abbai almeno 10 volte al giorno alla luna	idiom	0	2	0	0
abbaiare alla luna	Abbaia alla luna più che puoi	idiom	2	0	0	1
abbaiare alla luna	Abbaia alla luna tutti i giorni, non ne posso più	idiom	4	2	0	0,6666666667
abbaiare alla luna	Abbaiare alla luna sarà anche inutile ma è una valvola di sfogo	idiom	5	1	0	0,8333333333
abbaiare alla luna	Abbaiare alla luna è un’espressione idiomatica	idiom	3	2	0	0,6
abbaiare alla luna	Alla luna abbaiano solo i cani quindi prova a parlare in modo calmo	idiom	1	1	0	0,5
abbaiare alla luna	Arrabbiati quanto vuoi, ma stai solo abbaiando alla luna e non risolverai niente	idiom	1	2	0	0,3333333333
abbaiare alla luna	Basta abbaiare alla luna, cresci!	nonidiom	2	0	0	1
abbaiare alla luna	Chiedere alla prof di pubblicare le slide è come abbaiare alla luna	idiom	1	1	0	0,5
abbaiare alla luna	come ci si sente ad abbaiare invano alla luna ?	idiom	0	0	0	0
abbaiare alla luna	come hai fatto per far smettere al tuo cane di abbaiare alla luna?	idiom	0	1	0	0
abbaiare alla luna	come hai fatto per far smettere al tuo cane di abbaiare alla luna?	nonidiom	1	0	0	1
abbaiare alla luna	Come sempre, è ora di abbaiare alla luna	nonidiom	1	1	0	0,5
abbaiare alla luna	Devi abbaiare costantemente alla luna?	idiom	1	1	0	0,5
abbaiare alla luna	devo smetterla di abbaiare alla luna	idiom	3	2	0	0,6
abbaiare alla luna	Dodiom non abbaiare alla luna	idiom	4	2	0	0,6666666667
abbaiare alla luna	Dodiom non capisce che abbaiare inutilmente alla luna non lo porterà a nessun risultato	idiom	1	2	0	0,3333333333
abbaiare alla luna	Dopo aver litigato Mario le ha voltato le spalle ed è andato via, Anna arrabbiata continuava ad urlare ma abbaiava solo alla luna	idiom	3	1	0	0,75
abbaiare alla luna	Dopo averlo offeso, iniziò ad abbaiare alla luna	idiom	4	2	0	0,6666666667
abbaiare alla luna	Ho abbaiato alla luna quando l'ho saputo	idiom	2	1	0	0,6666666667
abbaiare alla luna	Ho abbaiato col pene alla luna	idiom	0	1	0	0
abbaiare alla luna	Ho abbaiato fortemente alla luna stasera	idiom	1	1	1	0,3333333333
abbaiare alla luna	ho molto sonno perché sono stata svegliata dal mio cane che non faceva altro che abbaiare come un lupo alla luna	nonidiom	0	0	0	0
abbaiare alla luna	ho sognato che il mio gatto non smetteva di abbaiare più alla luna	nonidiom	0	0	0	0
abbaiare alla luna	I cani abbaiano alla luna	idiom	1	2	0	0,3333333333
abbaiare alla luna	I lupi mannari abbaiano alla luna	nonidiom	1	2	0	0,3333333333
abbaiare alla luna	Ieri il mio cane Adolfo ha abbaiato alla luna	idiom	1	2	0	0,3333333333
abbaiare alla luna	il branco di lupi è solito abbaiare alla luna	nonidiom	4	1	0	0,8
abbaiare alla luna	il cane abbaia alla luna	nonidiom	3	2	0	0,6
abbaiare alla luna	Il cane dei vicini abbaia sempre alla luna e non mi fa dormire	nonidiom	5	1	0	0,8333333333
abbaiare alla luna	Il cane, di notte, abbaia sempre alla luna	nonidiom	4	1	0	0,8
abbaiare alla luna	Il lupo abbaia solo alla luna piena	nonidiom	3	1	0	0,75
abbaiare alla luna	il mio cane fuffi non fa altro che abbaiare incessantemente alla luna	nonidiom	1	0	0	1
abbaiare alla luna	il mio cane non smette di abbaiare alla luna stanotte	nonidiom	5	1	0	0,8333333333
abbaiare alla luna	Il mio cane non vuole smetterla di abbaiare alla luna	nonidiom	2	1	0	0,6666666667
abbaiare alla luna	Il mio cane stasera ha abbaiato alla luna	nonidiom	2	1	0	0,6666666667
abbaiare alla luna	il mio gatto per fortuna non può abbaiare alla luna	nonidiom	3	1	0	0,75
abbaiare alla luna	il passatempo preferito di fido è abbaiare costantemente alla luna	nonidiom	4	1	0	0,8
abbaiare alla luna	Il suo comportamento mi fa venire voglia di abbaiare alla luna	idiom	3	3	0	0,5
abbaiare alla luna	inutile abbaiare alla luna se non ti ascolta	idiom	1	1	0	0,5
abbaiare alla luna	L'orso della casa blu sembrava che abbaiasse alla luna quando cantava la sigla finale	nonidiom	1	2	0	0,3333333333
abbaiare alla luna	La smetti di abbaiare ancora alla luna che non sei un cane?	nonidiom	2	0	0	1
abbaiare alla luna	Ma chi usa l'espressione abbaiare alla luna?	nonidiom	4	2	0	0,6666666667
abbaiare alla luna	mattia, ogni volta che vede da lontano suo padre, è come se abbaiasse alla luna	idiom	4	1	0	0,8
abbaiare alla luna	Mi hai stufato tu e il tuo continuo abbaiare alla luna	idiom	2	0	0	1
abbaiare alla luna	Non abbaiare alla luna invano	idiom	4	2	0	0,6666666667
abbaiare alla luna	non abbaiare alla luna perché non ti sentirà	idiom	1	1	0	0,5
abbaiare alla luna	non fa altro che abbaiare alla luna	idiom	3	2	0	0,6
abbaiare alla luna	non ho dormito perché il cane dei vicini ha abbaiato ininterrottamente alla luna stanotte	nonidiom	3	2	0	0,6
abbaiare alla luna	Non importa se abbai di nuovo alla luna, ti ignoro	idiom	2	0	0	1
abbaiare alla luna	non posso fare altro che abbaiare invano alla luna in questa situazione	idiom	4	1	0	0,8
abbaiare alla luna	Non posso vedermi col mio fidanzato perché c'è la zona rossa e non faccio che abbaiare alla luna	idiom	4	1	0	0,8
abbaiare alla luna	Non puoi abbaiare sempre alla luna inutilmente	idiom	4	1	0	0,8
abbaiare alla luna	non so come dirti che devi finirla di abbaiare invano alla luna	idiom	0	0	0	0
abbaiare alla luna	Non ti stanchi di abbaiare per qualsiasi cosa alla luna?	idiom	1	2	0	0,3333333333
abbaiare alla luna	Non utilizzare l’espressione abbaiare alla luna se non ne capisci il significato	idiom	3	1	0	0,75
abbaiare alla luna	Non voglio abbaiare più alla luna	idiom	2	1	0	0,6666666667
abbaiare alla luna	Non voglio più abbaiare alla luna, non ho più tempo	idiom	1	1	0	0,5
abbaiare alla luna	Non è possibile che tu debba abbaiare per tutto alla luna	idiom	1	1	0	0,5
abbaiare alla luna	Ora inizierò ad abbaiare alla luna perché già mi dà errore quando cerco di vedere la classifica	idiom	5	1	0	0,8333333333
abbaiare alla luna	parlare con te è come abbaiare alla luna	idiom	3	1	0	0,75
abbaiare alla luna	Perché devi abbaiare alla luna per qualsiasi cosa?	idiom	1	2	0	0,3333333333
abbaiare alla luna	puoi abbaiare quanto vuoi alla luna, non otterrai niente	idiom	4	1	0	0,8
abbaiare alla luna	Quando la professoressa ha fatto una lezione di due ore e mezza, avevo voglia di abbaiare alla luna la mia insofferenza	idiom	4	2	0	0,6666666667
